,Province,new,total,WOJ,lat,long
0,DOLNOŚLĄSKIE,13.0,81.0,2,51.1078852,17.0385376
1,KUJAWSKO-POMORSKIE,0.0,18.0,4,53.01375,18.59814
2,LUBELSKIE,8.0,40.0,6,51.246452,22.568445
3,LUBUSKIE,2.0,12.0,8,51.935619,15.506186
4,MAZOWIECKIE,21.0,148.0,14,52.232222,21.008333
5,MAŁOPOLSKIE,8.0,24.0,12,50.061389,19.938333
6,OPOLSKIE,4.0,15.0,16,50.664722,17.926944
7,PODKARPACKIE,4.0,30.0,18,50.033611,22.004722
8,PODLASKIE,1.0,6.0,20,53.135278,23.145556
9,POMORSKIE,3.0,17.0,22,54.366667,18.633333
10,WARMIŃSKO-MAZURSKIE,2.0,22.0,28,53.773056,20.476111
11,WIELKOPOLSKIE,7.0,39.0,30,52.408333,16.934167
12,ZACHODNIOPOMORSKIE,2.0,12.0,32,53.438056,14.542222
13,ŁÓDZKIE,15.0,106.0,10,51.776667,19.454722
14,ŚLĄSKIE,10.0,65.0,24,50.264167,19.023611
15,ŚWIĘTOKRZYSKIE,0.0,6.0,26,50.874167,20.633333
